round,strategy,true_count,bet,wagered,result,bankroll
4520,COUNT,1.618,20,20,20,320
4520,DEALER,1.618,10,10,-10,-2475
4521,BASIC,0.977,10,10,0,-595
4521,COUNT,0.977,10,10,-10,310
4521,DEALER,0.977,10,10,-10,-2485
4522,BASIC,1.281,10,20,0,-595
4522,COUNT,1.281,10,10,15,325
4522,DEALER,1.281,10,10,-10,-2495
4523,BASIC,0.539,10,10,10,-585
4523,COUNT,0.539,10,10,15,340
4523,DEALER,0.539,10,10,-10,-2505
4524,BASIC,0.0,10,10,-10,-595
4524,COUNT,0.0,10,10,-10,330
4524,DEALER,0.0,10,10,-10,-2515
4525,BASIC,-0.299,10,10,15,-580
4525,COUNT,-0.299,10,10,-10,320
4525,DEALER,-0.299,10,10,10,-2505
4526,BASIC,-1.261,10,10,-10,-590
4526,COUNT,-1.261,10,10,10,330
4526,DEALER,-1.261,10,10,-10,-2515
4527,BASIC,-0.34,10,10,-10,-600
4527,COUNT,-0.34,10,10,10,340
4527,DEALER,-0.34,10,10,-10,-2525
4528,BASIC,-0.364,10,10,-5,-605
4528,COUNT,-0.364,10,10,-10,330
4528,DEALER,-0.364,10,10,-10,-2535
4529,BASIC,0.397,10,10,10,-595
4529,COUNT,0.397,10,20,20,350
4529,DEALER,0.397,10,10,10,-2525
4530,BASIC,1.763,10,10,10,-585
4530,COUNT,1.763,20,20,-20,330
4530,DEALER,1.763,10,10,10,-2515
4531,BASIC,1.458,10,10,-10,-595
4531,COUNT,1.458,10,10,15,345
4531,DEALER,1.458,10,10,10,-2505
4532,BASIC,2.213,10,10,10,-585
4532,COUNT,2.213,20,20,20,365
4532,DEALER,2.213,10,10,-10,-2515
4533,BASIC,4.439,10,10,0,-585
4533,COUNT,4.439,40,40,40,405
4533,DEALER,4.439,10,10,10,-2505
4534,BASIC,0.0,10,10,10,-575
4534,COUNT,0.0,10,10,10,415
4534,DEALER,0.0,10,10,15,-2490
4535,BASIC,-0.173,10,10,10,-565
4535,COUNT,-0.173,10,10,10,425
4535,DEALER,-0.173,10,10,-10,-2500
4536,BASIC,-0.36,10,10,10,-555
4536,COUNT,-0.36,10,10,-10,415
4536,DEALER,-0.36,10,10,-10,-2510
4537,BASIC,-1.3,10,10,-10,-565
4537,COUNT,-1.3,10,10,-10,405
4537,DEALER,-1.3,10,10,-10,-2520
4538,BASIC,-1.353,10,10,-10,-575
4538,COUNT,-1.353,10,10,-10,395
4538,DEALER,-1.353,10,10,0,-2520
4539,BASIC,-2.61,10,10,10,-565
4539,COUNT,-2.61,10,20,20,415
4539,DEALER,-2.61,10,10,10,-2510
4540,BASIC,-2.526,10,10,-10,-575
4540,COUNT,-2.526,10,10,-10,405
4540,DEALER,-2.526,10,10,-10,-2520
4541,BASIC,-1.763,10,10,-5,-580
4541,COUNT,-1.763,10,20,20,425
4541,DEALER,-1.763,10,10,15,-2505
4542,BASIC,-3.004,10,20,-20,-600
4542,COUNT,-3.004,10,20,10,435
4542,DEALER,-3.004,10,10,10,-2495
4543,BASIC,-2.698,10,10,-10,-610
4543,COUNT,-2.698,10,20,-20,415
4543,DEALER,-2.698,10,10,-10,-2505
4544,BASIC,-1.82,10,10,0,-610
4544,COUNT,-1.82,10,20,0,415
4544,DEALER,-1.82,10,10,-10,-2515
4545,BASIC,-1.651,10,20,-20,-630
4545,COUNT,-1.651,10,10,10,425
4545,DEALER,-1.651,10,10,-10,-2525
4546,BASIC,-0.294,10,10,15,-615
4546,COUNT,-0.294,10,10,10,435
4546,DEALER,-0.294,10,10,10,-2515
4547,BASIC,0.63,10,10,10,-605
4547,COUNT,0.63,10,20,20,455
4547,DEALER,0.63,10,10,10,-2505
4548,BASIC,0.68,10,10,-5,-610
4548,COUNT,0.68,10,10,10,465
4548,DEALER,0.68,10,10,10,-2495
4549,BASIC,0.0,10,10,10,-600
4549,COUNT,0.0,10,10,-10,455
4549,DEALER,0.0,10,10,10,-2485
4550,BASIC,1.228,10,10,-10,-610
4550,COUNT,1.228,10,10,-10,445
4550,DEALER,1.228,10,10,-10,-2495
4551,BASIC,2.185,10,10,0,-610
4551,COUNT,2.185,20,20,20,465
4551,DEALER,2.185,10,10,0,-2495
4552,BASIC,1.418,10,20,-20,-630
4552,COUNT,1.418,10,10,-10,455
4552,DEALER,1.418,10,10,10,-2485
4553,BASIC,5.897,10,10,-10,-640
4553,COUNT,5.897,60,60,-60,395
4553,DEALER,5.897,10,10,-10,-2495
4554,BASIC,6.81,10,10,-10,-650
4554,COUNT,6.81,70,70,70,465
4554,DEALER,6.81,10,10,-10,-2505
4555,BASIC,0.0,10,20,20,-630
4555,COUNT,0.0,10,10,-10,455
4555,DEALER,0.0,10,10,10,-2495
4556,BASIC,0.0,10,10,10,-620
4556,COUNT,0.0,10,10,10,465
4556,DEALER,0.0,10,10,-10,-2505
4557,BASIC,0.359,10,10,-10,-630
4557,COUNT,0.359,10,10,10,475
4557,DEALER,0.359,10,10,10,-2495
4558,BASIC,0.751,10,10,10,-620
4558,COUNT,0.751,10,20,20,495
4558,DEALER,0.751,10,10,15,-2480
4559,BASIC,0.586,10,10,-10,-630
4559,COUNT,0.586,10,20,-20,475
4559,DEALER,0.586,10,10,-10,-2490
4560,BASIC,0.816,10,10,-10,-640
4560,COUNT,0.816,10,10,0,475
4560,DEALER,0.816,10,10,10,-2480
4561,BASIC,1.284,10,10,-10,-650
4561,COUNT,1.284,10,10,-10,465
4561,DEALER,1.284,10,10,-10,-2490
4562,BASIC,1.77,10,10,10,-640
4562,COUNT,1.77,20,20,20,485
4562,DEALER,1.77,10,10,-10,-2500
4563,BASIC,1.393,10,10,10,-630
4563,COUNT,1.393,10,20,20,505
4563,DEALER,1.393,10,10,-10,-2510
4564,BASIC,1.717,10,10,-10,-640
4564,COUNT,1.717,20,20,-20,485
4564,DEALER,1.717,10,10,-10,-2520
4565,BASIC,1.275,10,10,10,-630
4565,COUNT,1.275,10,10,-10,475
4565,DEALER,1.275,10,10,-10,-2530
4566,BASIC,0.0,10,10,-10,-640
4566,COUNT,0.0,10,10,-10,465
4566,DEALER,0.0,10,10,-10,-2540
4567,BASIC,0.867,10,20,-20,-660
4567,COUNT,0.867,10,10,-10,455
4567,DEALER,0.867,10,10,-10,-2550
4568,BASIC,1.846,10,10,10,-650
4568,COUNT,1.846,20,20,-20,435
4568,DEALER,1.846,10,10,10,-2540
4569,BASIC,1.308,10,10,10,-640
4569,COUNT,1.308,10,10,-10,425
4569,DEALER,1.308,10,10,10,-2530
4570,BASIC,2.443,10,10,-5,-645
4570,COUNT,2.443,20,20,-20,405
4570,DEALER,2.443,10,10,-10,-2540
4571,BASIC,3.036,10,10,-10,-655
4571,COUNT,3.036,30,60,0,405
4571,DEALER,3.036,10,10,10,-2530
4572,BASIC,3.836,10,10,10,-645
4572,COUNT,3.836,40,80,80,485
4572,DEALER,3.836,10,10,10,-2520
4573,BASIC,4.771,10,10,10,-635
4573,COUNT,4.771,50,100,100,585
4573,DEALER,4.771,10,10,10,-2510
4574,BASIC,4.825,10,10,-10,-645
4574,COUNT,4.825,50,50,-50,535
4574,DEALER,4.825,10,10,-10,-2520
4575,BASIC,5.379,10,10,10,-635
4575,COUNT,5.379,50,50,50,585
4575,DEALER,5.379,10,10,-10,-2530
4576,BASIC,0.0,10,10,10,-625
4576,COUNT,0.0,10,10,0,585
4576,DEALER,0.0,10,10,10,-2520
4577,BASIC,-0.342,10,10,10,-615
4577,COUNT,-0.342,10,10,10,595
4577,DEALER,-0.342,10,10,10,-2510
4578,BASIC,0.178,10,10,-10,-625
4578,COUNT,0.178,10,10,-10,585
4578,DEALER,0.178,10,10,-10,-2520
4579,BASIC,0.0,10,20,20,-605
4579,COUNT,0.0,10,10,-10,575
4579,DEALER,0.0,10,10,10,-2510
4580,BASIC,0.578,10,10,-10,-615
4580,COUNT,0.578,10,20,20,595
4580,DEALER,0.578,10,10,10,-2500
4581,BASIC,1.625,10,10,-10,-625
4581,COUNT,1.625,20,20,20,615
4581,DEALER,1.625,10,10,-10,-2510
4582,BASIC,2.122,10,20,0,-625
4582,COUNT,2.122,20,20,-20,595
4582,DEALER,2.122,10,10,-10,-2520
4583,BASIC,2.926,10,10,10,-615
4583,COUNT,2.926,30,30,30,625
4583,DEALER,2.926,10,10,-10,-2530
4584,BASIC,2.612,10,10,-10,-625
4584,COUNT,2.612,30,30,-30,595
4584,DEALER,2.612,10,10,-10,-2540
4585,BASIC,1.972,10,10,10,-615
4585,COUNT,1.972,20,20,-20,575
4585,DEALER,1.972,10,10,-10,-2550
4586,BASIC,1.051,10,10,-10,-625
4586,COUNT,1.051,10,10,-10,565
4586,DEALER,1.051,10,10,10,-2540
4587,BASIC,1.383,10,10,-10,-635
4587,COUNT,1.383,10,10,-10,555
4587,DEALER,1.383,10,10,0,-2540
4588,BASIC,0.581,10,10,10,-625
4588,COUNT,0.581,10,20,20,575
4588,DEALER,0.581,10,10,10,-2530
4589,BASIC,1.246,10,10,-10,-635
4589,COUNT,1.246,10,10,15,590
4589,DEALER,1.246,10,10,-10,-2540
4590,BASIC,1.006,10,20,20,-615
4590,COUNT,1.006,10,10,10,600
4590,DEALER,1.006,10,10,10,-2530
4591,BASIC,0.722,10,20,20,-595
4591,COUNT,0.722,10,10,10,610
4591,DEALER,0.722,10,10,10,-2520
4592,BASIC,1.576,10,10,10,-585
4592,COUNT,1.576,20,40,40,650
4592,DEALER,1.576,10,10,10,-2510
4593,BASIC,1.748,10,10,-5,-590
4593,COUNT,1.748,20,20,-20,630
4593,DEALER,1.748,10,10,-10,-2520
4594,BASIC,0.954,10,10,0,-590
4594,COUNT,0.954,10,10,-10,620
4594,DEALER,0.954,10,10,0,-2520
4595,BASIC,-2.101,10,10,10,-580
4595,COUNT,-2.101,10,10,-10,610
4595,DEALER,-2.101,10,10,10,-2510
4596,BASIC,-2.419,10,10,-5,-585
4596,COUNT,-2.419,10,10,15,625
4596,DEALER,-2.419,10,10,-10,-2520
4597,BASIC,0.0,10,20,20,-565
4597,COUNT,0.0,10,10,10,635
4597,DEALER,0.0,10,10,-10,-2530
4598,BASIC,0.348,10,10,10,-555
4598,COUNT,0.348,10,10,10,645
4598,DEALER,0.348,10,10,10,-2520
4599,BASIC,0.361,10,10,-5,-560
4599,COUNT,0.361,10,10,-10,635
4599,DEALER,0.361,10,10,-10,-2530
4600,BASIC,0.751,10,20,-20,-580
4600,COUNT,0.751,10,10,-10,625
4600,DEALER,0.751,10,10,-10,-2540
4601,BASIC,1.766,10,10,-10,-590
4601,COUNT,1.766,20,20,0,625
4601,DEALER,1.766,10,10,-10,-2550
4602,BASIC,1.631,10,20,-20,-610
4602,COUNT,1.631,20,40,-40,585
4602,DEALER,1.631,10,10,-10,-2560
4603,BASIC,1.504,10,10,-10,-620
4603,COUNT,1.504,20,20,-20,565
4603,DEALER,1.504,10,10,10,-2550
4604,BASIC,1.14,10,10,10,-610
4604,COUNT,1.14,10,10,-10,555
4604,DEALER,1.14,10,10,10,-2540
4605,BASIC,0.239,10,10,-10,-620
4605,COUNT,0.239,10,10,-10,545
4605,DEALER,0.239,10,10,0,-2540
4606,BASIC,0.507,10,10,-10,-630
4606,COUNT,0.507,10,10,10,555
4606,DEALER,0.507,10,10,10,-2530
4607,BASIC,0.539,10,10,-10,-640
4607,COUNT,0.539,10,10,10,565
4607,DEALER,0.539,10,10,0,-2530
4608,BASIC,-0.565,10,10,15,-625
4608,COUNT,-0.565,10,10,10,575
4608,DEALER,-0.565,10,10,10,-2520
4609,BASIC,-0.601,10,20,20,-605
4609,COUNT,-0.601,10,10,10,585
4609,DEALER,-0.601,10,10,10,-2510
4610,BASIC,-0.323,10,10,-10,-615
4610,COUNT,-0.323,10,10,-10,575
4610,DEALER,-0.323,10,10,-10,-2520
4611,BASIC,0.347,10,10,-10,-625
4611,COUNT,0.347,10,10,-10,565
4611,DEALER,0.347,10,10,-10,-2530
4612,BASIC,2.696,10,10,10,-615
4612,COUNT,2.696,30,30,-30,535
4612,DEALER,2.696,10,10,10,-2520
4613,BASIC,2.959,10,10,-10,-625
4613,COUNT,2.959,30,30,-30,505
4613,DEALER,2.959,10,10,10,-2510
4614,BASIC,4.602,10,10,10,-615
4614,COUNT,4.602,50,50,-50,455
4614,DEALER,4.602,10,10,15,-2495
4615,BASIC,4.039,10,10,10,-605
4615,COUNT,4.039,40,40,-20,435
4615,DEALER,4.039,10,10,10,-2485
4616,BASIC,3.319,10,10,-10,-615
4616,COUNT,3.319,30,30,-30,405
4616,DEALER,3.319,10,10,-10,-2495
4617,BASIC,3.714,10,10,-10,-625
4617,COUNT,3.714,40,40,-40,365
4617,DEALER,3.714,10,10,10,-2485
4618,BASIC,0.0,10,10,10,-615
4618,COUNT,0.0,10,10,10,375
4618,DEALER,0.0,10,10,-10,-2495
4619,BASIC,0.173,10,10,-10,-625
4619,COUNT,0.173,10,10,10,385
4619,DEALER,0.173,10,10,10,-2485
4620,BASIC,0.361,10,10,10,-615
4620,COUNT,0.361,10,10,0,385
4620,DEALER,0.361,10,10,-10,-2495
4621,BASIC,0.0,10,10,10,-605
4621,COUNT,0.0,10,10,-10,375
4621,DEALER,0.0,10,10,10,-2485
4622,BASIC,0.39,10,10,-10,-615
4622,COUNT,0.39,10,10,-5,370
4622,DEALER,0.39,10,10,10,-2475
4623,BASIC,0.607,10,10,10,-605
4623,COUNT,0.607,10,10,10,380
4623,DEALER,0.607,10,10,-10,-2485
4624,BASIC,0.634,10,10,15,-590
4624,COUNT,0.634,10,20,-20,360
4624,DEALER,0.634,10,10,10,-2475
4625,BASIC,0.219,10,10,-10,-600
4625,COUNT,0.219,10,20,20,380
4625,DEALER,0.219,10,10,10,-2465
4626,BASIC,0.462,10,10,10,-590
4626,COUNT,0.462,10,10,10,390
4626,DEALER,0.462,10,10,-10,-2475
4627,BASIC,0.486,10,10,-10,-600
4627,COUNT,0.486,10,10,0,390
4627,DEALER,0.486,10,10,-10,-2485
4628,BASIC,0.256,10,10,-10,-610
4628,COUNT,0.256,10,10,-10,380
4628,DEALER,0.256,10,10,-10,-2495
4629,BASIC,-0.8,10,10,0,-610
4629,COUNT,-0.8,10,10,10,390
4629,DEALER,-0.8,10,10,10,-2485
4630,BASIC,-1.124,10,10,0,-610
4630,COUNT,-1.124,10,10,-10,380
4630,DEALER,-1.124,10,10,-10,-2495
4631,BASIC,-1.793,10,10,-10,-620
4631,COUNT,-1.793,10,20,20,400
4631,DEALER,-1.793,10,10,10,-2485
4632,BASIC,-1.3,10,20,-20,-640
4632,COUNT,-1.3,10,10,10,410
4632,DEALER,-1.3,10,10,-10,-2495
4633,BASIC,-1.054,10,10,10,-630
4633,COUNT,-1.054,10,10,10,420
4633,DEALER,-1.054,10,10,10,-2485
4634,BASIC,-1.871,10,10,10,-620
4634,COUNT,-1.871,10,10,15,435
4634,DEALER,-1.871,10,10,-10,-2495
4635,BASIC,-2.822,10,10,-10,-630
4635,COUNT,-2.822,10,10,-5,430
4635,DEALER,-2.822,10,10,-10,-2505
4636,BASIC,-3.059,10,10,15,-615
4636,COUNT,-3.059,10,10,-10,420
4636,DEALER,-3.059,10,10,0,-2505
4637,BASIC,-5.673,10,10,-10,-625
4637,COUNT,-5.673,10,10,10,430
4637,DEALER,-5.673,10,10,-10,-2515
4638,BASIC,-4.825,10,10,-10,-635
4638,COUNT,-4.825,10,10,-10,420
4638,DEALER,-4.825,10,10,-10,-2525
4639,BASIC,-5.442,10,10,-10,-645
4639,COUNT,-5.442,10,20,20,440
4639,DEALER,-5.442,10,10,-10,-2535
4640,BASIC,0.0,10,10,-10,-655
4640,COUNT,0.0,10,10,0,440
4640,DEALER,0.0,10,10,-10,-2545
4641,BASIC,0.0,10,10,10,-645
4641,COUNT,0.0,10,10,10,450
4641,DEALER,0.0,10,10,10,-2535
4642,BASIC,-0.181,10,10,15,-630
4642,COUNT,-0.181,10,10,-10,440
4642,DEALER,-0.181,10,10,15,-2520
4643,BASIC,-0.932,10,10,0,-630
4643,COUNT,-0.932,10,10,-10,430
4643,DEALER,-0.932,10,10,10,-2510
4644,BASIC,-0.39,10,10,0,-630
4644,COUNT,-0.39,10,20,-20,410
4644,DEALER,-0.39,10,10,-10,-2520
4645,BASIC,-0.612,10,10,10,-620
4645,COUNT,-0.612,10,10,0,410
4645,DEALER,-0.612,10,10,15,-2505
4646,BASIC,-1.698,10,10,-10,-630
4646,COUNT,-1.698,10,20,20,430
4646,DEALER,-1.698,10,10,10,-2495
4647,BASIC,-1.793,10,10,-10,-640
4647,COUNT,-1.793,10,10,0,430
4647,DEALER,-1.793,10,10,-10,-2505
4648,BASIC,-0.954,10,10,-10,-650
4648,COUNT,-0.954,10,10,-10,420
4648,DEALER,-0.954,10,10,-10,-2515
4649,BASIC,-1.733,10,10,-5,-655
4649,COUNT,-1.733,10,10,10,430
4649,DEALER,-1.733,10,10,-10,-2525
4650,BASIC,-1.568,10,10,0,-655
4650,COUNT,-1.568,10,10,-10,420
4650,DEALER,-1.568,10,10,-10,-2535
4651,BASIC,-1.106,10,10,10,-645
4651,COUNT,-1.106,10,10,10,430
4651,DEALER,-1.106,10,10,10,-2525
4652,BASIC,-1.753,10,20,-20,-665
4652,COUNT,-1.753,10,20,-20,410
4652,DEALER,-1.753,10,10,-10,-2535
4653,BASIC,-2.193,10,10,-10,-675
4653,COUNT,-2.193,10,20,-20,390
4653,DEALER,-2.193,10,10,-10,-2545
4654,BASIC,-1.351,10,10,-10,-685
4654,COUNT,-1.351,10,10,-10,380
4654,DEALER,-1.351,10,10,-10,-2555
4655,BASIC,-1.793,10,10,-10,-695
4655,COUNT,-1.793,10,10,10,390
4655,DEALER,-1.793,10,10,10,-2545
4656,BASIC,-0.4,10,10,-10,-705
4656,COUNT,-0.4,10,20,-20,370
4656,DEALER,-0.4,10,10,-10,-2555
4657,BASIC,0.889,10,10,-10,-715
4657,COUNT,0.889,10,10,-10,360
4657,DEALER,0.889,10,10,-10,-2565
4658,BASIC,0.0,10,10,-10,-725
4658,COUNT,0.0,10,10,0,360
4658,DEALER,0.0,10,10,-10,-2575
4659,BASIC,-3.12,10,20,-20,-745
4659,COUNT,-3.12,10,10,10,370
4659,DEALER,-3.12,10,10,-10,-2585
4660,BASIC,-2.337,10,10,10,-735
4660,COUNT,-2.337,10,10,-10,360
4660,DEALER,-2.337,10,10,10,-2575
4661,BASIC,0.0,10,10,-10,-745
4661,COUNT,0.0,10,20,20,380
4661,DEALER,0.0,10,10,-10,-2585
4662,BASIC,1.04,10,10,15,-730
4662,COUNT,1.04,10,10,-10,370
4662,DEALER,1.04,10,10,-10,-2595
4663,BASIC,0.18,10,10,-10,-740
4663,COUNT,0.18,10,10,10,380
4663,DEALER,0.18,10,10,-10,-2605
4664,BASIC,0.754,10,10,0,-740
4664,COUNT,0.754,10,10,0,380
4664,DEALER,0.754,10,10,-10,-2615
4665,BASIC,0.589,10,10,-10,-750
4665,COUNT,0.589,10,10,-10,370
4665,DEALER,0.589,10,10,-10,-2625
4666,BASIC,1.872,10,10,10,-740
4666,COUNT,1.872,20,20,20,390
4666,DEALER,1.872,10,10,-10,-2635
4667,BASIC,0.863,10,10,-10,-750
4667,COUNT,0.863,10,10,-10,380
4667,DEALER,0.863,10,10,10,-2625
4668,BASIC,0.0,10,10,-10,-760
4668,COUNT,0.0,10,10,10,390
4668,DEALER,0.0,10,10,0,-2625
4669,BASIC,0.0,10,10,10,-750
4669,COUNT,0.0,10,10,10,400
4669,DEALER,0.0,10,10,-10,-2635
4670,BASIC,-0.502,10,10,-10,-760
4670,COUNT,-0.502,10,20,0,400
4670,DEALER,-0.502,10,10,-10,-2645
4671,BASIC,-1.347,10,10,-10,-770
4671,COUNT,-1.347,10,10,-10,390
4671,DEALER,-1.347,10,10,-10,-2655
4672,BASIC,-1.124,10,10,-10,-780
4672,COUNT,-1.124,10,10,-10,380
4672,DEALER,-1.124,10,10,-10,-2665
4673,BASIC,0.902,10,10,10,-770
4673,COUNT,0.902,10,20,20,400
4673,DEALER,0.902,10,10,-10,-2675
4674,BASIC,1.292,10,10,-10,-780
4674,COUNT,1.292,10,20,20,420
4674,DEALER,1.292,10,10,10,-2665
4675,BASIC,0.344,10,10,10,-770
4675,COUNT,0.344,10,10,0,420
4675,DEALER,0.344,10,10,10,-2655
4676,BASIC,-0.374,10,10,10,-760
4676,COUNT,-0.374,10,10,10,430
4676,DEALER,-0.374,10,10,-10,-2665
4677,BASIC,-1.219,10,10,-10,-770
4677,COUNT,-1.219,10,20,-20,410
4677,DEALER,-1.219,10,10,-10,-2675
4678,BASIC,0.444,10,10,0,-770
4678,COUNT,0.444,10,10,-10,400
4678,DEALER,0.444,10,10,-10,-2685
4679,BASIC,-1.458,10,20,20,-750
4679,COUNT,-1.458,10,10,10,410
4679,DEALER,-1.458,10,10,-10,-2695
4680,BASIC,-1.083,10,10,-10,-760
4680,COUNT,-1.083,10,10,15,425
4680,DEALER,-1.083,10,10,10,-2685
4681,BASIC,-3.095,10,10,10,-750
4681,COUNT,-3.095,10,20,20,445
4681,DEALER,-3.095,10,10,-10,-2695
4682,BASIC,0.0,10,10,10,-740
4682,COUNT,0.0,10,10,10,455
4682,DEALER,0.0,10,10,10,-2685
4683,BASIC,-0.344,10,10,10,-730
4683,COUNT,-0.344,10,10,10,465
4683,DEALER,-0.344,10,10,10,-2675
4684,BASIC,-0.36,10,10,10,-720
4684,COUNT,-0.36,10,10,-10,455
4684,DEALER,-0.36,10,10,10,-2665
4685,BASIC,0.188,10,10,10,-710
4685,COUNT,0.188,10,10,10,465
4685,DEALER,0.188,10,10,10,-2655
4686,BASIC,0.392,10,20,20,-690
4686,COUNT,0.392,10,10,-10,455
4686,DEALER,0.392,10,10,15,-2640
4687,BASIC,0.206,10,10,10,-680
4687,COUNT,0.206,10,10,10,465
4687,DEALER,0.206,10,10,-10,-2650
4688,BASIC,0.215,10,10,-10,-690
4688,COUNT,0.215,10,10,-10,455
4688,DEALER,0.215,10,10,-10,-2660
4689,BASIC,0.672,10,10,10,-680
4689,COUNT,0.672,10,10,0,455
4689,DEALER,0.672,10,10,10,-2650
4690,BASIC,0.473,10,20,20,-660
4690,COUNT,0.473,10,20,20,475
4690,DEALER,0.473,10,10,10,-2640
4691,BASIC,2.261,10,10,15,-645
4691,COUNT,2.261,20,20,20,495
4691,DEALER,2.261,10,10,10,-2630
4692,BASIC,1.848,10,20,-20,-665
4692,COUNT,1.848,20,40,-40,455
4692,DEALER,1.848,10,10,10,-2620
4693,BASIC,2.53,10,10,15,-650
4693,COUNT,2.53,30,30,-30,425
4693,DEALER,2.53,10,10,-10,-2630
4694,BASIC,1.486,10,10,-10,-660
4694,COUNT,1.486,10,10,-10,415
4694,DEALER,1.486,10,10,-10,-2640
4695,BASIC,0.94,10,10,10,-650
4695,COUNT,0.94,10,10,-10,405
4695,DEALER,0.94,10,10,10,-2630
4696,BASIC,0.671,10,10,10,-640
4696,COUNT,0.671,10,10,10,415
4696,DEALER,0.671,10,10,10,-2620
4697,BASIC,1.076,10,10,0,-640
4697,COUNT,1.076,10,10,-10,405
4697,DEALER,1.076,10,10,0,-2620
4698,BASIC,1.156,10,10,-5,-645
4698,COUNT,1.156,10,20,0,405
4698,DEALER,1.156,10,10,10,-2610
4699,BASIC,-0.832,10,10,-10,-655
4699,COUNT,-0.832,10,40,-40,365
4699,DEALER,-0.832,10,10,-10,-2620
4700,BASIC,-0.473,10,10,-10,-665
4700,COUNT,-0.473,10,10,10,375
4700,DEALER,-0.473,10,10,10,-2610
4701,BASIC,-0.52,10,20,20,-645
4701,COUNT,-0.52,10,10,10,385
4701,DEALER,-0.52,10,10,-10,-2620
4702,BASIC,0.0,10,10,-10,-655
4702,COUNT,0.0,10,10,-10,375
4702,DEALER,0.0,10,10,-10,-2630
4703,BASIC,-0.658,10,10,10,-645
4703,COUNT,-0.658,10,10,10,385
4703,DEALER,-0.658,10,10,10,-2620
4704,BASIC,0.0,10,10,-10,-655
4704,COUNT,0.0,10,10,-5,380
4704,DEALER,0.0,10,10,0,-2620
4705,BASIC,-0.689,10,10,-10,-665
4705,COUNT,-0.689,10,10,10,390
4705,DEALER,-0.689,10,10,10,-2610
4706,BASIC,-1.068,10,10,-5,-670
4706,COUNT,-1.068,10,10,-5,385
4706,DEALER,-1.068,10,10,10,-2600
4707,BASIC,-1.47,10,20,-20,-690
4707,COUNT,-1.47,10,10,-10,375
4707,DEALER,-1.47,10,10,10,-2590
4708,BASIC,-0.384,10,10,15,-675
4708,COUNT,-0.384,10,10,0,375
4708,DEALER,-0.384,10,10,10,-2580
4709,BASIC,-1.195,10,10,-10,-685
4709,COUNT,-1.195,10,10,-10,365
4709,DEALER,-1.195,10,10,10,-2570
4710,BASIC,-1.04,10,10,-10,-695
4710,COUNT,-1.04,10,20,-20,345
4710,DEALER,-1.04,10,10,-10,-2580
4711,BASIC,-0.435,10,10,10,-685
4711,COUNT,-0.435,10,10,10,355
4711,DEALER,-0.435,10,10,10,-2570
4712,BASIC,-0.684,10,20,20,-665
4712,COUNT,-0.684,10,10,15,370
4712,DEALER,-0.684,10,10,10,-2560
4713,BASIC,0.242,10,10,10,-655
4713,COUNT,0.242,10,10,10,380
4713,DEALER,0.242,10,10,10,-2550
4714,BASIC,0.0,10,10,-10,-665
4714,COUNT,0.0,10,10,-5,375
4714,DEALER,0.0,10,10,-10,-2560
4715,BASIC,0.545,10,10,-10,-675
4715,COUNT,0.545,10,20,-10,365
4715,DEALER,0.545,10,10,-10,-2570
4716,BASIC,1.182,10,10,10,-665
4716,COUNT,1.182,10,10,-10,355
4716,DEALER,1.182,10,10,10,-2560
4717,BASIC,0.945,10,10,10,-655
4717,COUNT,0.945,10,10,10,365
4717,DEALER,0.945,10,10,10,-2550
4718,BASIC,2.053,10,10,-10,-665
4718,COUNT,2.053,20,20,-20,345
4718,DEALER,2.053,10,10,-10,-2560
4719,BASIC,2.563,10,20,-20,-685
4719,COUNT,2.563,30,30,-30,315
4719,DEALER,2.563,10,10,-10,-2570
4720,BASIC,2.779,10,10,10,-675
4720,COUNT,2.779,30,30,0,315
4720,DEALER,2.779,10,10,10,-2560
4721,BASIC,2.131,10,10,10,-665
4721,COUNT,2.131,20,20,20,335
4721,DEALER,2.131,10,10,10,-2550
4722,BASIC,1.908,10,10,10,-655
4722,COUNT,1.908,20,20,20,355
4722,DEALER,1.908,10,10,10,-2540
4723,BASIC,3.284,10,30,10,-645
4723,COUNT,3.284,30,30,30,385
4723,DEALER,3.284,10,10,15,-2525
4724,BASIC,4.494,10,10,10,-635
4724,COUNT,4.494,40,40,40,425
4724,DEALER,4.494,10,10,10,-2515
4725,BASIC,0.0,10,10,-10,-645
4725,COUNT,0.0,10,10,-5,420
4725,DEALER,0.0,10,10,-10,-2525
4726,BASIC,-0.517,10,10,10,-635
4726,COUNT,-0.517,10,10,10,430
4726,DEALER,-0.517,10,10,10,-2515
4727,BASIC,-1.242,10,10,-10,-645
4727,COUNT,-1.242,10,10,0,430
4727,DEALER,-1.242,10,10,-10,-2525
4728,BASIC,-1.295,10,10,10,-635
4728,COUNT,-1.295,10,10,15,445
4728,DEALER,-1.295,10,10,-10,-2535
4729,BASIC,-1.74,10,10,-10,-645
4729,COUNT,-1.74,10,10,-10,435
4729,DEALER,-1.74,10,10,-10,-2545
4730,BASIC,-0.816,10,10,-10,-655
4730,COUNT,-0.816,10,10,10,445
4730,DEALER,-0.816,10,10,10,-2535
4731,BASIC,-0.213,10,10,-10,-665
4731,COUNT,-0.213,10,10,-10,435
4731,DEALER,-0.213,10,10,-10,-2545
4732,BASIC,-0.224,10,10,15,-650
4732,COUNT,-0.224,10,10,10,445
4732,DEALER,-0.224,10,10,-10,-2555
4733,BASIC,-1.399,10,10,-10,-660
