round,strategy,true_count,bet,wagered,result,bankroll
54,BASIC,1.848,10,10,10,1005
54,COUNT,1.848,20,40,40,730
54,DEALER,1.848,10,10,-10,920
55,BASIC,3.735,10,10,10,1015
55,COUNT,3.735,40,40,40,770
55,DEALER,3.735,10,10,10,930
56,BASIC,3.649,10,10,-10,1005
56,COUNT,3.649,40,40,60,830
56,DEALER,3.649,10,10,-10,920
57,BASIC,3.9,10,10,10,1015
57,COUNT,3.9,40,40,40,870
57,DEALER,3.9,10,10,-10,910
58,BASIC,4.537,10,10,-5,1010
58,COUNT,4.537,50,50,-50,820
58,DEALER,4.537,10,10,0,910
59,BASIC,3.319,10,20,-20,990
59,COUNT,3.319,30,45,15,835
59,DEALER,3.319,10,10,10,920
60,BASIC,3.573,10,10,10,1000
60,COUNT,3.573,40,40,40,875
60,DEALER,3.573,10,10,10,930
61,BASIC,3.836,10,20,20,1020
61,COUNT,3.836,40,40,40,915
61,DEALER,3.836,10,10,10,940
62,BASIC,4.685,10,10,15,1035
62,COUNT,4.685,50,50,50,965
62,DEALER,4.685,10,10,10,950
63,BASIC,4.119,10,10,10,1045
63,COUNT,4.119,40,60,20,985
63,DEALER,4.119,10,10,10,960
64,BASIC,4.674,10,10,10,1055
64,COUNT,4.674,50,100,100,1085
64,DEALER,4.674,10,10,10,970
65,BASIC,0.0,10,10,10,1065
65,COUNT,0.0,10,10,10,1095
65,DEALER,0.0,10,10,0,970
66,BASIC,0.518,10,10,10,1075
66,COUNT,0.518,10,10,-10,1085
66,DEALER,0.518,10,10,10,980
67,BASIC,0.36,10,10,-5,1070
67,COUNT,0.36,10,10,10,1095
67,DEALER,0.36,10,10,10,990
68,BASIC,0.939,10,10,-10,1060
68,COUNT,0.939,10,20,-20,1075
68,DEALER,0.939,10,10,10,1000
69,BASIC,1.955,10,20,20,1080
69,COUNT,1.955,20,20,20,1095
69,DEALER,1.955,10,10,-10,990
70,BASIC,1.228,10,10,10,1090
70,COUNT,1.228,10,10,10,1105
70,DEALER,1.228,10,10,15,1005
71,BASIC,0.642,10,20,20,1110
71,COUNT,0.642,10,10,-10,1095
71,DEALER,0.642,10,10,-10,995
72,BASIC,0.9,10,10,-10,1100
72,COUNT,0.9,10,10,-10,1085
72,DEALER,0.9,10,10,-10,985
73,BASIC,1.182,10,20,-20,1080
73,COUNT,1.182,10,10,-10,1075
73,DEALER,1.182,10,10,10,995
74,BASIC,1.244,10,10,10,1090
74,COUNT,1.244,10,20,20,1095
74,DEALER,1.244,10,10,10,1005
75,BASIC,1.32,10,10,10,1100
75,COUNT,1.32,10,10,10,1105
75,DEALER,1.32,10,10,-10,995
76,BASIC,1.686,10,10,10,1110
76,COUNT,1.686,20,20,20,1125
76,DEALER,1.686,10,10,-10,985
77,BASIC,0.594,10,10,-10,1100
77,COUNT,0.594,10,10,-10,1115
77,DEALER,0.594,10,10,0,985
78,BASIC,0.311,10,20,20,1120
78,COUNT,0.311,10,10,10,1125
78,DEALER,0.311,10,10,-10,975
79,BASIC,-0.331,10,10,-10,1110
79,COUNT,-0.331,10,10,-5,1120
79,DEALER,-0.331,10,10,-10,965
80,BASIC,-0.354,10,10,0,1110
80,COUNT,-0.354,10,10,10,1130
80,DEALER,-0.354,10,10,-10,955
81,BASIC,0.0,10,10,10,1120
81,COUNT,0.0,10,10,10,1140
81,DEALER,0.0,10,10,-10,945
82,BASIC,-1.664,10,10,-5,1115
82,COUNT,-1.664,10,10,-10,1130
82,DEALER,-1.664,10,10,10,955
83,BASIC,-2.364,10,10,10,1125
83,COUNT,-2.364,10,10,10,1140
83,DEALER,-2.364,10,10,10,965
84,BASIC,0.531,10,10,-5,1120
84,COUNT,0.531,10,10,10,1150
84,DEALER,0.531,10,10,10,975
85,BASIC,-1.753,10,10,10,1130
85,COUNT,-1.753,10,10,0,1150
85,DEALER,-1.753,10,10,10,985
86,BASIC,-2.633,10,10,10,1140
86,COUNT,-2.633,10,10,10,1160
86,DEALER,-2.633,10,10,10,995
87,BASIC,0.0,10,10,10,1150
87,COUNT,0.0,10,10,10,1170
87,DEALER,0.0,10,10,-10,985
88,BASIC,0.173,10,10,10,1160
88,COUNT,0.173,10,10,10,1180
88,DEALER,0.173,10,10,10,995
89,BASIC,0.0,10,10,-10,1150
89,COUNT,0.0,10,10,-10,1170
89,DEALER,0.0,10,10,15,1010
90,BASIC,0.377,10,10,-10,1140
90,COUNT,0.377,10,10,10,1180
90,DEALER,0.377,10,10,10,1020
91,BASIC,1.594,10,10,-10,1130
91,COUNT,1.594,20,20,-20,1160
91,DEALER,1.594,10,10,10,1030
92,BASIC,2.516,10,10,-10,1120
92,COUNT,2.516,30,30,-30,1130
92,DEALER,2.516,10,10,-10,1020
93,BASIC,2.644,10,10,15,1135
93,COUNT,2.644,30,30,-30,1100
93,DEALER,2.644,10,10,-10,1010
94,BASIC,2.761,10,10,-10,1125
94,COUNT,2.761,30,30,-30,1070
94,DEALER,2.761,10,10,-10,1000
95,BASIC,2.862,10,20,-20,1105
95,COUNT,2.862,30,30,-30,1040
95,DEALER,2.862,10,10,-10,990
96,BASIC,3.75,10,10,10,1115
96,COUNT,3.75,40,40,40,1080
96,DEALER,3.75,10,10,-10,980
97,BASIC,3.152,10,30,-30,1085
97,COUNT,3.152,30,30,-30,1050
97,DEALER,3.152,10,10,-10,970
98,BASIC,2.022,10,10,-10,1075
98,COUNT,2.022,20,20,20,1070
98,DEALER,2.022,10,10,10,980
99,BASIC,0.608,10,10,10,1085
99,COUNT,0.608,10,10,-5,1065
99,DEALER,0.608,10,10,10,990
100,BASIC,0.325,10,10,-10,1075
100,COUNT,0.325,10,10,-10,1055
100,DEALER,0.325,10,10,-10,980
101,BASIC,-1.026,10,10,-10,1065
101,COUNT,-1.026,10,10,10,1065
101,DEALER,-1.026,10,10,-10,970
102,BASIC,-0.743,10,10,-10,1055
102,COUNT,-0.743,10,10,-10,1055
102,DEALER,-0.743,10,10,-10,960
103,BASIC,0.0,10,10,-5,1050
103,COUNT,0.0,10,10,-10,1045
103,DEALER,0.0,10,10,-10,950
104,BASIC,-1.719,10,10,10,1060
104,COUNT,-1.719,10,10,10,1055
104,DEALER,-1.719,10,10,10,960
105,BASIC,-1.926,10,10,10,1070
105,COUNT,-1.926,10,10,10,1065
105,DEALER,-1.926,10,10,-10,950
106,BASIC,-2.144,10,10,10,1080
106,COUNT,-2.144,10,10,10,1075
106,DEALER,-2.144,10,10,10,960
107,BASIC,-2.476,10,10,10,1090
107,COUNT,-2.476,10,20,-20,1055
107,DEALER,-2.476,10,10,-10,950
108,BASIC,0.0,10,10,10,1100
108,COUNT,0.0,10,10,-10,1045
108,DEALER,0.0,10,10,10,960
109,BASIC,-0.344,10,10,-10,1090
109,COUNT,-0.344,10,10,-10,1035
109,DEALER,-0.344,10,10,-10,950
110,BASIC,0.361,10,10,-10,1080
110,COUNT,0.361,10,10,10,1045
110,DEALER,0.361,10,10,-10,940
111,BASIC,0.378,10,10,10,1090
111,COUNT,0.378,10,10,10,1055
111,DEALER,0.378,10,10,10,950
112,BASIC,0.0,10,10,-10,1080
112,COUNT,0.0,10,10,10,1065
112,DEALER,0.0,10,10,10,960
113,BASIC,0.0,10,10,10,1090
113,COUNT,0.0,10,20,20,1085
113,DEALER,0.0,10,10,10,970
114,BASIC,0.214,10,20,20,1110
114,COUNT,0.214,10,20,-20,1065
114,DEALER,0.214,10,10,10,980
115,BASIC,1.357,10,10,15,1125
115,COUNT,1.357,10,10,10,1075
115,DEALER,1.357,10,10,10,990
116,BASIC,0.712,10,10,-10,1115
116,COUNT,0.712,10,10,-10,1065
116,DEALER,0.712,10,10,-10,980
117,BASIC,1.0,10,10,-10,1105
117,COUNT,1.0,10,10,10,1075
117,DEALER,1.0,10,10,-10,970
118,BASIC,-0.265,10,20,-20,1085
118,COUNT,-0.265,10,10,-10,1065
118,DEALER,-0.265,10,10,0,970
119,BASIC,0.843,10,10,15,1100
119,COUNT,0.843,10,10,10,1075
119,DEALER,0.843,10,10,-10,960
120,BASIC,0.902,10,10,10,1110
120,COUNT,0.902,10,10,10,1085
120,DEALER,0.902,10,10,10,970
121,BASIC,2.289,10,10,-10,1100
121,COUNT,2.289,20,20,0,1085
121,DEALER,2.289,10,10,10,980
122,BASIC,2.476,10,10,10,1110
122,COUNT,2.476,20,20,20,1105
122,DEALER,2.476,10,10,10,990
123,BASIC,3.416,10,10,-10,1100
123,COUNT,3.416,30,45,-45,1060
123,DEALER,3.416,10,10,-10,980
124,BASIC,4.613,10,10,-5,1095
124,COUNT,4.613,50,75,25,1085
124,DEALER,4.613,10,10,10,990
125,BASIC,3.138,10,10,-10,1085
125,COUNT,3.138,30,60,-60,1025
125,DEALER,3.138,10,10,0,990
126,BASIC,4.457,10,10,-10,1075
126,COUNT,4.457,40,40,-20,1005
126,DEALER,4.457,10,10,0,990
127,BASIC,2.144,10,10,-10,1065
127,COUNT,2.144,20,20,-20,985
127,DEALER,2.144,10,10,0,990
128,BASIC,1.209,10,10,-10,1055
128,COUNT,1.209,10,20,20,1005
128,DEALER,1.209,10,10,10,1000
129,BASIC,0.0,10,10,10,1065
129,COUNT,0.0,10,10,10,1015
129,DEALER,0.0,10,10,10,1010
130,BASIC,-0.172,10,10,-10,1055
130,COUNT,-0.172,10,10,-10,1005
130,DEALER,-0.172,10,10,-10,1000
131,BASIC,-0.359,10,10,-10,1045
131,COUNT,-0.359,10,10,-10,995
131,DEALER,-0.359,10,10,15,1015
132,BASIC,-0.374,10,10,10,1055
132,COUNT,-0.374,10,10,10,1005
132,DEALER,-0.374,10,10,15,1030
133,BASIC,-0.582,10,20,-20,1035
133,COUNT,-0.582,10,10,0,1005
133,DEALER,-0.582,10,10,-10,1020
134,BASIC,-0.605,10,10,10,1045
134,COUNT,-0.605,10,20,20,1025
134,DEALER,-0.605,10,10,-10,1010
135,BASIC,-0.637,10,10,-10,1035
135,COUNT,-0.637,10,10,-10,1015
135,DEALER,-0.637,10,10,10,1020
136,BASIC,0.667,10,10,-10,1025
136,COUNT,0.667,10,10,0,1015
136,DEALER,0.667,10,10,-10,1010
137,BASIC,0.7,10,10,-10,1015
137,COUNT,0.7,10,10,10,1025
137,DEALER,0.7,10,10,0,1010
138,BASIC,0.0,10,10,-10,1005
138,COUNT,0.0,10,10,-10,1015
138,DEALER,0.0,10,10,15,1025
139,BASIC,-0.257,10,20,-20,985
139,COUNT,-0.257,10,10,-10,1005
139,DEALER,-0.257,10,10,-10,1015
140,BASIC,0.272,10,10,-10,975
140,COUNT,0.272,10,10,-10,995
140,DEALER,0.272,10,10,-10,1005
141,BASIC,0.581,10,10,-10,965
141,COUNT,0.581,10,10,-10,985
141,DEALER,0.581,10,10,-10,995
142,BASIC,0.0,10,10,10,975
142,COUNT,0.0,10,10,-10,975
142,DEALER,0.0,10,10,0,995
143,BASIC,-0.654,10,10,-10,965
143,COUNT,-0.654,10,10,-10,965
143,DEALER,-0.654,10,10,-10,985
144,BASIC,-1.377,10,10,10,975
144,COUNT,-1.377,10,10,-10,955
144,DEALER,-1.377,10,10,10,995
145,BASIC,-1.114,10,10,10,985
145,COUNT,-1.114,10,10,-10,945
145,DEALER,-1.114,10,10,-10,985
146,BASIC,-1.985,10,20,0,985
146,COUNT,-1.985,10,10,-10,935
146,DEALER,-1.985,10,10,-10,975
147,BASIC,-1.322,10,10,10,995
147,COUNT,-1.322,10,20,20,955
147,DEALER,-1.322,10,10,-10,965
148,BASIC,0.99,10,10,-10,985
148,COUNT,0.99,10,10,-10,945
148,DEALER,0.99,10,10,-10,955
149,BASIC,0.0,10,10,-5,980
149,COUNT,0.0,10,20,20,965
149,DEALER,0.0,10,10,-10,945
150,BASIC,3.095,10,10,0,980
150,COUNT,3.095,30,30,-30,935
150,DEALER,3.095,10,10,-10,935
151,BASIC,0.0,10,10,-10,970
151,COUNT,0.0,10,10,10,945
151,DEALER,0.0,10,10,10,945
152,BASIC,0.0,10,10,10,980
152,COUNT,0.0,10,10,-10,935
152,DEALER,0.0,10,10,15,960
153,BASIC,-0.361,10,10,-10,970
153,COUNT,-0.361,10,10,-10,925
153,DEALER,-0.361,10,10,-10,950
154,BASIC,0.187,10,10,-10,960
154,COUNT,0.187,10,10,0,925
154,DEALER,0.187,10,10,0,950
155,BASIC,-0.39,10,10,-5,955
155,COUNT,-0.39,10,10,-10,915
155,DEALER,-0.39,10,10,-10,940
156,BASIC,-0.205,10,10,-10,945
156,COUNT,-0.205,10,10,-10,905
156,DEALER,-0.205,10,10,10,950
157,BASIC,0.215,10,10,10,955
157,COUNT,0.215,10,10,-10,895
157,DEALER,0.215,10,10,10,960
158,BASIC,0.226,10,10,10,965
158,COUNT,0.226,10,10,10,905
158,DEALER,0.226,10,10,10,970
159,BASIC,0.716,10,10,0,965
159,COUNT,0.716,10,10,-10,895
159,DEALER,0.716,10,10,0,970
160,BASIC,-0.995,10,10,10,975
160,COUNT,-0.995,10,10,10,905
160,DEALER,-0.995,10,10,10,980
161,BASIC,-1.3,10,10,10,985
161,COUNT,-1.3,10,10,10,915
161,DEALER,-1.3,10,10,-10,970
162,BASIC,-2.489,10,10,10,995
162,COUNT,-2.489,10,10,-10,905
162,DEALER,-2.489,10,10,10,980
163,BASIC,-1.783,10,10,-10,985
163,COUNT,-1.783,10,10,-10,895
163,DEALER,-1.783,10,10,0,980
164,BASIC,-0.951,10,20,-20,965
164,COUNT,-0.951,10,10,-10,885
164,DEALER,-0.951,10,10,-10,970
165,BASIC,-2.026,10,10,-10,955
165,COUNT,-2.026,10,10,-10,875
165,DEALER,-2.026,10,10,-10,960
166,BASIC,-2.197,10,10,15,970
166,COUNT,-2.197,10,10,10,885
166,DEALER,-2.197,10,10,-10,950
167,BASIC,-4.4,10,10,10,980
167,COUNT,-4.4,10,10,-10,875
167,DEALER,-4.4,10,10,-10,940
168,BASIC,-4.767,10,30,-30,950
168,COUNT,-4.767,10,20,-20,855
168,DEALER,-4.767,10,10,10,950
169,BASIC,-3.925,10,10,15,965
169,COUNT,-3.925,10,10,-10,845
169,DEALER,-3.925,10,10,10,960
170,BASIC,-4.333,10,20,-20,945
170,COUNT,-4.333,10,10,-10,835
170,DEALER,-4.333,10,10,10,970
171,BASIC,-3.759,10,10,10,955
171,COUNT,-3.759,10,10,-10,825
171,DEALER,-3.759,10,10,0,970
172,BASIC,0.0,10,20,-20,935
172,COUNT,0.0,10,10,10,835
172,DEALER,0.0,10,10,-10,960
173,BASIC,-0.172,10,10,10,945
173,COUNT,-0.172,10,10,10,845
173,DEALER,-0.172,10,10,10,970
174,BASIC,0.178,10,10,10,955
174,COUNT,0.178,10,10,-10,835
174,DEALER,0.178,10,10,10,980
175,BASIC,0.559,10,10,-10,945
175,COUNT,0.559,10,20,20,855
175,DEALER,0.559,10,10,-10,970
176,BASIC,0.974,10,10,10,955
176,COUNT,0.974,10,10,10,865
176,DEALER,0.974,10,10,10,980
177,BASIC,0.202,10,10,15,970
177,COUNT,0.202,10,10,-10,855
177,DEALER,0.202,10,10,10,990
178,BASIC,-0.629,10,10,15,985
178,COUNT,-0.629,10,10,-10,845
178,DEALER,-0.629,10,10,10,1000
179,BASIC,-0.881,10,10,10,995
179,COUNT,-0.881,10,10,10,855
179,DEALER,-0.881,10,10,-10,990
180,BASIC,-0.929,10,10,10,1005
180,COUNT,-0.929,10,10,10,865
180,DEALER,-0.929,10,10,10,1000
181,BASIC,-1.693,10,10,-10,995
181,COUNT,-1.693,10,10,-10,855
181,DEALER,-1.693,10,10,-10,990
182,BASIC,-1.035,10,10,-10,985
182,COUNT,-1.035,10,10,10,865
182,DEALER,-1.035,10,10,10,1000
183,BASIC,-0.55,10,10,-10,975
183,COUNT,-0.55,10,10,-10,855
183,DEALER,-0.55,10,10,-10,990
184,BASIC,-0.581,10,10,10,985
184,COUNT,-0.581,10,20,20,875
184,DEALER,-0.581,10,10,-10,980
185,BASIC,0.0,10,10,10,995
185,COUNT,0.0,10,20,0,875
185,DEALER,0.0,10,10,-10,970
186,BASIC,0.675,10,10,0,995
186,COUNT,0.675,10,10,-10,865
186,DEALER,0.675,10,10,-10,960
187,BASIC,1.091,10,10,10,1005
187,COUNT,1.091,10,10,-10,855
187,DEALER,1.091,10,10,-10,950
188,BASIC,1.6,10,10,-10,995
188,COUNT,1.6,20,20,20,875
188,DEALER,1.6,10,10,10,960
189,BASIC,1.322,10,10,-10,985
189,COUNT,1.322,10,10,-10,865
189,DEALER,1.322,10,10,-10,950
